,,,,,,
,,,,,,
,,WEEK 1,,,,
,,,,,,
,,,Favorite,Line,vs/at,Under Dog
,,,,,,
,,"Thursday, August 28, 2025",,,,
,,,,,,
,,,Boise State,-10,at,South Florida
,,,Bowling Green,-13.50,vs,UL Lafayette
,,,Rutgers,-10.50,vs,Ohio
,,,LA-Monroe,-22.50,vs,St Francis PA
,,,UCF,-16.50,at,Jacksonville State
,,,Delaware,-29.50,at,Delaware State
,,,NC State,-14,at,East Carolina
,,,Wyoming,-9.50,vs,Akron
,,,Duke,-33.50,vs,Elon
,,,Oklahoma State,-17.50,vs,UT Martin
,,,Missouri,-36.50,vs,Central Arkansas
,,,Minnesota,-18.50,vs,Buffalo
,,,Houston,-22.50,vs,SF Austin
,,,Nebraska,-6.50,at,Cincinnati
,,,Wisconsin,-17.50,at,Miami (OH)
,,,San Diego State,-18.50,at,Stony Brook
,,,,,,
,,"Friday, September 29, 2025",,,,
,,,,,,
,,,Michigan State,-17.50,at,Western Michigan
,,,Appalachian State,-8.50,at,UNC Charlotte
,,,Wake Forest,-17.50,vs,Kennesaw State
,,,Auburn,-1.50,at,Baylor
,,,Georgia Tech,-3.50,at,Colorado
,,,UNLV,-13.50,at,Sam Houston
,,,San Jose State,-10.50,vs,Central Michigan
,,,,,,
,,"Saturday, September 30, 2025",,,,
,,,,,,
,,,Purdue,-16.50,vs,Ball State
,,,Tulane,-7.50,vs,Northwestern
,,,Tennessee,-14.50,vs,Syracuse
,,,Maryland,-17.50,vs,FAU
,,,Mississippi State,-15.50,at,Georgia Southern
,,,Ohio State,-3.50,vs,Texas
,,,Kent State,-6.50,at,Merrimack
,,,Kentucky,-12.50,at,Toledo
,,,Indiana,-23.50,at,Old Dominion
,,,Louisville,-38.50,at,Eastern Kentucky
,,,U Mass,-1.50,at,Temple
,,,Alabama,-9.50,vs,Florida State
,,,Georgia,-38.50,at,Marshall
,,,Penn State,-43.50,at,Nevada
,,,Virginia,-12.50,at,Coastal Carolina
,,,Iowa,-37.50,at,Albany
,,,Kansas State,-25.50,at,North Dakota
,,,Texas A&M,-21,at,UTSA
,,,USC,-31.50,at,Missouri State
,,,Utah State,-3.50,at,UTEP
,,,Clemson,-2.50,at,LSU
,,,LA-Tech,-13.50,at,SE Louisiana
,,,Michigan,-34.50,at,New Mexico
,,,Ole Miss,-35.50,at,Georgia State
,,,LA-Lafayette,-14.50,at,Rice
,,,North Texas,-24.50,at,Lamar
,,,Texas State,-14.50,at,Eastern Michigan
,,,Tulsa,-5.50,at,Abilene Christian
,,,BYU,-43.50,at,Portland State
,,,New Mexico State,-19.50,at,Bryant
,,,Fresno State,-1.50,at,Georgia Southern
,,,Washington State,-13.50,at,Idaho
,,,Arizona State,-28.50,at,North Arizona
,,,Arizona,-10.50,at,Hawaii
,,,Oregon State,-1.50,at,California
,,,Utah,-3,vs,UCLA
,,,Washington,-18.50,vs,Colorado State
,,,,,,
,,"Sunday, August 31, 2025",,,,
,,,,,,
,,,South Carolina,-10.50,vs,Virginia Tech
,,,Notre Dame,-2.50,at,Miami (FL)
,,,,,,
,,"Monday, September 1, 2025",,,,
,,,,,,
,,,North Carolina,-2.50,at,TCU
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
